0 13304
-2552 -7340 17172
3860 -8340 16476
172 -7028 19832
7308 -5544 9284
7596 -1004 4984
2072 -11388 17532
10232 -10080 15880
1788 -6960 10760
4504 -768 10604
4588 324 15180
-2856 -12944 22188
3412 -8480 18100
1484 604 8748
2336 -1512 9928
4440 40 14500
4756 -1148 14880
796 -6684 15452
2808 -10708 23532
7068 -1152 8124
-2040 6680 13532
-4816 -12300 29008
8492 -10516 17268
3732 4592 -2088
-4816 292 21168
-3240 -21356 32767
10212 -5032 6904
3784 4248 5560
4552 -1944 13628
4940 -10572 16076
-4464 -9036 23640
6892 -3824 11776
900 1448 10908
6192 -3560 13064
1748 -10792 18384
2420 -13492 21064
10868 -3128 10156
144 -2024 13776
3756 -9284 14900
1064 -11428 20696
4136 -7048 11464
2536 -3592 11892
4052 -9524 15980
3424 -11752 15392
4772 -2396 10396
760 -2716 10216
4988 -10928 21372
6088 -14668 15536
7884 -3288 5792
6384 -1452 9896
5992 -7624 15836
3008 -14368 20092
8832 -1864 6476
2232 -1976 8372
-1232 -6208 24188
4392 -7720 20372
868 -2908 11824
6224 -7660 17940
4428 -5404 15556
3548 -4532 14448
876 -5664 14116
7780 -2344 15552
4516 -2500 6596
4836 -4988 11388
1256 -10568 13384
1304 -6588 11920
5640 -5660 14968
4660 -6776 15576
3700 -5244 11572
5772 -5308 11812
3032 -7616 15200
3380 -6068 14128
6300 -1920 6636
2144 -4088 12700
1044 -8324 20672
4912 -9160 15296
1172 -6492 14428
5860 -5996 15440
4244 -5796 11820
3524 -7788 15200
6092 -7168 11872
4600 -3992 12396
6312 -2680 12428
4808 -3968 15184
1804 -4320 12612
6132 -936 14184
2416 -2680 10108
-556 -3280 17640
248 -7096 17292
6460 -1108 11808
3460 -3612 13004
6192 -1088 14848
1064 -6504 19400
1904 -3244 9960
-1580 -4052 16276
-3624 -8812 19596
2364 -8844 21556
844 -5296 12500
3944 -6560 15828
4132 -8076 13912
5752 -6256 12448
5196 -5952 13972
5492 -3020 10808
3336 -6408 20704
1616 -7876 22212
5904 -5076 13564
1284 -2716 14496
4252 -6344 17796
3968 -8940 15988
4024 -10680 11320
4188 -8644 14780
1972 -7892 16816
672 -6912 16724
-1840 -10928 19184
376 -6760 15092
2284 -4660 12948
1856 -6904 14604
2740 -6304 14184
2184 -4492 11448
1300 -2212 11384
2588 -4372 15732
3136 -1460 14332
1684 -2956 13640
5368 -6384 16324
4488 -5132 15180
4564 -3180 14616
6832 -6640 11904
10612 -5256 11024
3812 -3796 16136
3756 -8112 14956
1052 -6252 14624
1928 -2748 12824
2784 -4640 19864
1616 -4756 14756
2892 -4624 16888
3148 -2272 16024
3652 -3052 13100
4500 -3680 13004
512 -7816 14548
2384 -4732 14724
4404 -1356 13600
2572 -5036 15464
3456 -6272 15424
1356 -7488 17052
2684 -3820 15836
2460 -3988 16968
4812 -3868 13648
1244 -5280 16436
1852 -7988 17068
572 -9392 19020
3808 -5284 15860
5816 -2324 13172
4216 -2792 13424
4456 -6264 10688
2944 -9324 15580
5752 -6656 11100
2780 -3668 11020
6660 -2508 11132
3028 -6480 13976
2844 -5180 15332
1516 -4608 17260
4448 -5772 13180
2064 -7044 12100
4520 -8472 11520
1732 -7112 16520
1952 -6080 12696
5928 -4992 14696
2712 -7424 14724
6980 -3684 8644
4448 -7712 16036
1268 -7676 18108
1324 10920 13980
540 -6728 16848
4236 -8468 18148
3064 -7056 12544
5564 -2488 9052
5480 -4876 14516
668 -6032 15008
7364 -7908 14320
344 -3904 13768
5024 -3936 17036
2088 -6048 16540
5332 -5476 16992
8212 -2448 13096
3208 -1852 9556
3608 580 15628
1588 -10308 17684
-3128 -9744 19940
6284 -3132 13232
2644 -3572 15324
4996 -6888 11908
1308 -6708 15496
2684 -9748 15996
504 572 17284
4600 -4688 13112
4480 -2860 15492
5572 -4136 12876
6568 -6136 9724
3272 -3576 10016
76 -3604 15656
5196 -6288 14456
436 -3464 19988
1652 -2460 15536
7404 -4956 11516
1356 -8432 16376
3568 -8268 14140
3136 -4740 13368
2196 -2180 13996
7476 -5612 15200
-560 -4864 18060
5752 -5880 17160
4244 -3504 12356
900 -4384 12452
2684 -8160 18432
4104 -2276 12324
1828 -3212 19900
4488 -3076 12356
4604 -232 6848
3036 -5140 15376
-44 -13580 19688
7996 -9540 18576
1632 1184 15668
5164 -864 12364
3920 -9152 19424
8 -13616 17624
6284 -3872 10484
1612 -2824 16652
2648 -4224 11984
1564 -5028 12384
3600 -6188 16900
1636 -6824 15720
4920 -1436 12048
5524 -1740 11480
2476 -6016 12216
3448 -7512 14736
6344 -6872 15144
4392 -6548 12384
4912 -6116 18012
3288 -5524 17988
4100 -4088 12652
5720 -1416 12192
4240 -6868 10992
780 -12360 14568
-424 -9804 19900
1948 -6296 14088
3572 -2312 11656
5176 -2340 9580
7080 -2500 12328
-404 -8724 11884
3992 -9284 23036
716 -8856 15800
3376 -2576 11708
4180 884 13392
1220 -5956 16580
5480 -9264 17496
2644 -8260 12108
3188 -5948 9896
2460 -7072 18544
2124 -4592 11292
5220 -2248 11508
1432 -4476 19488
-2072 -12828 22368
6000 -5604 12760
2912 560 10296
1620 -3816 13016
3552 -2540 16900
2292 -6672 19564
4812 -4532 13336
5400 -3268 14760
2184 -1128 14512
7560 -3984 11304
1072 -16776 13516
8276 -7712 16892
2468 -6432 13496
2740 -6076 13568
2888 -9288 15952
2128 -8304 9952
3772 -9412 16736
-448 -12352 13416
3692 -8500 14728
5644 -5612 13220
384 -9052 14072
4860 -9128 15476
7608 -4824 15916
2828 -5988 13660
5956 -7648 15148
4364 -6860 15828
3748 -10408 17544
1900 -11748 15680
4268 -5504 12888
2000 -348 13160
2048 -5596 16780
3048 -10196 13428
864 -5568 13616
5204 -3580 11232
1496 -4728 16232
4228 -6108 15088
3624 1392 16952
4476 -356 13208
4524 -4136 13464
2944 -4060 12632
4028 -5012 17800
-272 -816 18152
4204 -1800 14444
1004 -3320 18692
3444 -116 12832
3600 -2352 10800
3108 -3060 11472
2728 -1792 18500
2684 -3972 16812
2132 -1872 15280
3444 -580 16064
1028 -1300 17840
6184 -3292 13876
5828 -148 12060
5456 -916 14468
5208 -2004 18360
1372 -3300 15416
-5408 -20872 22356
3120 3440 19928
4516 424 14808
872 2760 16440
1872 -568 19180
2084 -1624 14636
3552 -684 13956
4180 -2092 15532
1828 -1612 14308
5328 -1596 15876
2480 -1632 17860
3720 -1372 17272
4908 -80 14980
2656 -2180 13948
6848 196 14648
560 1092 16112
3112 -4648 17792
2880 -2552 17244
1548 -3272 14092
4336 -1924 13160
2848 -1080 13768
836 -5136 16888
2964 -4192 16852
2324 -1856 14924
3500 -3592 17820
4088 -2588 17096
3228 -1260 16256
5944 -1116 17256
4512 -1824 15708
7268 1140 7816
3068 2560 14200
3168 -3040 20372
-988 -320 16460
3912 1448 14088
3632 1036 10028
-3348 -3220 15544
2060 -5440 20532
2120 -6112 17336
4244 -788 12588
964 -3356 15584
5872 -1992 15332
4584 -916 10476
4116 -1676 15752
2644 -952 18292
4456 -2040 13008
4488 -2584 13516
680 -1200 15588
4260 -1940 19356
2324 64 13308
3472 -48 16252
5308 -360 14812
132 -3860 13908
3324 -3316 17064
-104 -4988 19084
2252 -5500 18492
11112 -1044 10384
5992 -2092 10384
-520 -1952 20756
8384 -1912 14844
5756 -2612 9804
8668 -28 13916
3156 -4548 19504
688 -1556 20692
5916 -1136 16024
4296 2328 11536
4432 -1276 15948
3896 -448 16756
3216 -924 16472
4200 -624 12304
-748 -1632 17968
6060 -4344 19896
2832 -264 12548
3148 -768 10748
1432 -1768 16300
5728 -3148 17144
6924 -3648 12940
-772 -1148 13784
4420 -1768 19252
